usgs_commodity_code,source_file,country,world_metric_type,production_2021_raw,production_2021,production_unit,country_relationship,mineral,use_case,principal_source_country_user,principal_source_relationship_user,usgs_commodity_group,is_world_total,is_other_countries,world_total_2021,production_share_pct,is_user_principal_source
alumi,world/mcs2022-alumi_world.csv,United States,smelter production,880,880.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,1.2941176470588236,False
alumi,world/mcs2022-alumi_world.csv,United States,smelter production,880,880.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,1.1428571428571428,False
alumi,world/mcs2022-alumi_world.csv,Australia,smelter production,1600,1600.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.3529411764705883,False
alumi,world/mcs2022-alumi_world.csv,Australia,smelter production,1600,1600.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,2.0779220779220777,False
alumi,world/mcs2022-alumi_world.csv,Bahrain,smelter production,1500,1500.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.2058823529411766,False
alumi,world/mcs2022-alumi_world.csv,Bahrain,smelter production,1500,1500.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,1.948051948051948,False
alumi,world/mcs2022-alumi_world.csv,Canada,smelter production,3100,3100.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,4.5588235294117645,False
alumi,world/mcs2022-alumi_world.csv,Canada,smelter production,3100,3100.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,4.025974025974026,False
alumi,world/mcs2022-alumi_world.csv,China,smelter production,39000,39000.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,57.35294117647059,True
alumi,world/mcs2022-alumi_world.csv,China,smelter production,39000,39000.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,50.649350649350644,True
alumi,world/mcs2022-alumi_world.csv,Iceland,smelter production,880,880.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,1.2941176470588236,False
alumi,world/mcs2022-alumi_world.csv,Iceland,smelter production,880,880.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,1.1428571428571428,False
alumi,world/mcs2022-alumi_world.csv,India,smelter production,3900,3900.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,5.735294117647059,False
alumi,world/mcs2022-alumi_world.csv,India,smelter production,3900,3900.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,5.0649350649350655,False
alumi,world/mcs2022-alumi_world.csv,Norway,smelter production,1400,1400.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.0588235294117645,False
alumi,world/mcs2022-alumi_world.csv,Norway,smelter production,1400,1400.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,1.8181818181818181,False
alumi,world/mcs2022-alumi_world.csv,Russia,smelter production,3700,3700.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,5.4411764705882355,False
alumi,world/mcs2022-alumi_world.csv,Russia,smelter production,3700,3700.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,4.805194805194805,False
alumi,world/mcs2022-alumi_world.csv,United Arab Emirates,smelter production,2600,2600.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,3.823529411764706,False
alumi,world/mcs2022-alumi_world.csv,United Arab Emirates,smelter production,2600,2600.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,3.3766233766233764,False
alumi,world/mcs2022-alumi_world.csv,Other countries,smelter production,9400,9400.0,kt,aggregate,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,True,68000.0,13.823529411764707,False
alumi,world/mcs2022-alumi_world.csv,Other countries,smelter production,9400,9400.0,kt,aggregate,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,True,77000.0,12.207792207792208,False
alumi,world/mcs2022-alumi_world.csv,United States,Smelter yearend capacity,1640,1640.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.411764705882353,False
alumi,world/mcs2022-alumi_world.csv,United States,Smelter yearend capacity,1640,1640.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,2.12987012987013,False
alumi,world/mcs2022-alumi_world.csv,Australia,Smelter yearend capacity,1720,1720.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.5294117647058822,False
alumi,world/mcs2022-alumi_world.csv,Australia,Smelter yearend capacity,1720,1720.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,2.2337662337662336,False
alumi,world/mcs2022-alumi_world.csv,Bahrain,Smelter yearend capacity,1550,1550.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.2794117647058822,False
alumi,world/mcs2022-alumi_world.csv,Bahrain,Smelter yearend capacity,1550,1550.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,2.012987012987013,False
alumi,world/mcs2022-alumi_world.csv,Canada,Smelter yearend capacity,3270,3270.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,4.8088235294117645,False
alumi,world/mcs2022-alumi_world.csv,Canada,Smelter yearend capacity,3270,3270.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,4.246753246753246,False
alumi,world/mcs2022-alumi_world.csv,China,Smelter yearend capacity,43000,43000.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,63.23529411764706,True
alumi,world/mcs2022-alumi_world.csv,China,Smelter yearend capacity,43000,43000.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,55.84415584415584,True
alumi,world/mcs2022-alumi_world.csv,Iceland,Smelter yearend capacity,890,890.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,1.3088235294117647,False
alumi,world/mcs2022-alumi_world.csv,Iceland,Smelter yearend capacity,890,890.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,1.1558441558441557,False
alumi,world/mcs2022-alumi_world.csv,India,Smelter yearend capacity,4060,4060.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,5.970588235294118,False
alumi,world/mcs2022-alumi_world.csv,India,Smelter yearend capacity,4060,4060.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,5.2727272727272725,False
alumi,world/mcs2022-alumi_world.csv,Norway,Smelter yearend capacity,1430,1430.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,2.1029411764705883,False
alumi,world/mcs2022-alumi_world.csv,Norway,Smelter yearend capacity,1430,1430.0,kt,ally,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,1.8571428571428572,False
alumi,world/mcs2022-alumi_world.csv,Russia,Smelter yearend capacity,4020,4020.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,5.911764705882353,False
alumi,world/mcs2022-alumi_world.csv,Russia,Smelter yearend capacity,4020,4020.0,kt,competitor,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,5.220779220779221,False
alumi,world/mcs2022-alumi_world.csv,United Arab Emirates,Smelter yearend capacity,2780,2780.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,68000.0,4.088235294117648,False
alumi,world/mcs2022-alumi_world.csv,United Arab Emirates,Smelter yearend capacity,2780,2780.0,kt,neutral,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,False,77000.0,3.6103896103896105,False
alumi,world/mcs2022-alumi_world.csv,Other countries,Smelter yearend capacity,12300,12300.0,kt,aggregate,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,True,68000.0,18.088235294117645,False
alumi,world/mcs2022-alumi_world.csv,Other countries,Smelter yearend capacity,12300,12300.0,kt,aggregate,Aluminum,used in almost all sectors of the economy,China,competitor,Aluminum,False,True,77000.0,15.974025974025974,False
antim,world/mcs2022-antim_world.csv,United States,Mine production,0,0.0,t,ally,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.0,False
antim,world/mcs2022-antim_world.csv,Australia,Mine production,3400,3400.0,t,ally,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,3.090909090909091,False
antim,world/mcs2022-antim_world.csv,Bolivia,Mine production,2700,2700.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,2.4545454545454546,False
antim,world/mcs2022-antim_world.csv,Burma,Mine production,2000,2000.0,t,competitor,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,1.8181818181818181,False
antim,world/mcs2022-antim_world.csv,Canada,Mine production,2,2.0,t,ally,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.0018181818181818182,False
antim,world/mcs2022-antim_world.csv,China,Mine production,60000,60000.0,t,competitor,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,54.54545454545454,True
antim,world/mcs2022-antim_world.csv,Guatemala,Mine production,80,80.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.07272727272727272,False
antim,world/mcs2022-antim_world.csv,Iran,Mine production,400,400.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.36363636363636365,False
antim,world/mcs2022-antim_world.csv,Kazakhstan,Mine production,100,100.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.09090909090909091,False
antim,world/mcs2022-antim_world.csv,Kyrgyzstan,Mine production,0,0.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.0,False
antim,world/mcs2022-antim_world.csv,Mexico,Mine production,700,700.0,t,ally,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.6363636363636364,False
antim,world/mcs2022-antim_world.csv,Pakistan,Mine production,20,20.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.01818181818181818,False
antim,world/mcs2022-antim_world.csv,Russia (recoverable),Mine production,25000,25000.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,22.727272727272727,False
antim,world/mcs2022-antim_world.csv,Tajikistan,Mine production,13000,13000.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,11.818181818181818,False
antim,world/mcs2022-antim_world.csv,Turkey,Mine production,1300,1300.0,t,ally,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,1.1818181818181819,False
antim,world/mcs2022-antim_world.csv,Vietnam,Mine production,400,400.0,t,neutral,Antimony,used in lead-acid batteries and flame retardants,China,competitor,Antimony,False,False,110000.0,0.36363636363636365,False
arsen,world/mcs2022-arsen_world.csv,United States,arsenic trioxide,0,0.0,t,ally,Arsenic,used in semi-conductors,China,competitor,Arsenic,False,False,59000.0,0.0,False
